conditions	conditions-href	title	other_names	test	meds	symptom	percent	attr	freq
Hyperlipidemia	http://www.symcat.com/conditions/hyperlipidemia	Hyperlipidemia	Also known as Lipidemia and Excessive Fat In The Blood		Lovastatin				
Psychotic disorder	http://www.symcat.com/conditions/psychotic-disorder	Psychotic disorder	null			Delusions or hallucinations	45		
Foreign body in the eye	http://www.symcat.com/conditions/foreign-body-in-the-eye	Foreign body in the eye	null	Other intraocular therapeutic procedures					
Indigestion	http://www.symcat.com/conditions/indigestion	Indigestion	Also known as Dyspepsia					Female	1.1x
Cataract	http://www.symcat.com/conditions/cataract	Cataract	Also known as Lens Opacity and Lenticular Opacity					Hispanic	0.6x
Pelvic organ prolapse	http://www.symcat.com/conditions/pelvic-organ-prolapse	Pelvic organ prolapse	null	Rectal examination					
Drug abuse	http://www.symcat.com/conditions/drug-abuse--2	Drug abuse	Also known as Recreational Drug Use		Naltrexone				
Lumbago	http://www.symcat.com/conditions/lumbago	Lumbago	Also known as Chronic Low Back Pain		Diclofenac Topical Product				
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis					75+ years	0.7x
Post-traumatic stress disorder (PTSD)	http://www.symcat.com/conditions/post-traumatic-stress-disorder-ptsd	Post-traumatic stress disorder (PTSD)	Also known as PTSD					45-59 years	1.6x
Neuralgia	http://www.symcat.com/conditions/neuralgia	Neuralgia	null		Ammonium Lactate Topical				
Itching of unknown cause	http://www.symcat.com/conditions/itching-of-unknown-cause	Itching of unknown cause	null		Fluocinolone Topical				
Diaper rash	http://www.symcat.com/conditions/diaper-rash--2	Diaper rash	"Also known as Diaper Dermatitis, Nappy Rash, and Napkin Dermatitis"					Female	1.0x
Herniated disk	http://www.symcat.com/conditions/herniated-disk	Herniated disk	Also known as Slipped Disk and Prolapsed Disk			Paresthesia	13		
Post-traumatic stress disorder (PTSD)	http://www.symcat.com/conditions/post-traumatic-stress-disorder-ptsd	Post-traumatic stress disorder (PTSD)	Also known as PTSD			Fears and phobias	9		
Mitral valve disease	http://www.symcat.com/conditions/mitral-valve-disease	Mitral valve disease	Also known as Mitral Valve Disorder	Other diagnostic procedures (interview; evaluation; consultation)					
Conjunctivitis due to virus	http://www.symcat.com/conditions/conjunctivitis-due-to-virus	Conjunctivitis due to virus	Also known as Viral Conjunctivitis			Nasal congestion	42		
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu	Hematologic tests (Blood test)					
Inguinal hernia	http://www.symcat.com/conditions/inguinal-hernia	Inguinal hernia	null	Wound care management					
Atrophic skin condition	http://www.symcat.com/conditions/atrophic-skin-condition	Atrophic skin condition	null			Skin lesion	35		
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu			Fluid retention	12		
Spondylosis	http://www.symcat.com/conditions/spondylosis	Spondylosis	null			Arm pain	30		
Hypothyroidism	http://www.symcat.com/conditions/hypothyroidism	Hypothyroidism	null					< 1 years	0.2x
Deviated nasal septum	http://www.symcat.com/conditions/deviated-nasal-septum	Deviated nasal septum	null					5-14 years	0.3x
Open wound due to trauma	http://www.symcat.com/conditions/open-wound-due-to-trauma	Open wound due to trauma	null					1-4 years	0.9x
Sickle cell anemia	http://www.symcat.com/conditions/sickle-cell-anemia	Sickle cell anemia	Also known as Sickle Cell Disorder					< 1 years	2.0x
Spondylosis	http://www.symcat.com/conditions/spondylosis	Spondylosis	null		Tizanidine				
Acute kidney injury	http://www.symcat.com/conditions/acute-kidney-injury	Acute kidney injury	"Also known as AKI, ARF, Acute Renal Failure, Acute Kidney Failure, Acute Renal Insufficiency, and Acute Renal Shutdown"	Radiographic imaging procedure					
Obsessive compulsive disorder (OCD)	http://www.symcat.com/conditions/obsessive-compulsive-disorder-ocd	Obsessive compulsive disorder (OCD)	Also known as OCD and Obsessive Compulsive Neurosis		Methylphenidate				
Open wound of the face	http://www.symcat.com/conditions/open-wound-of-the-face	Open wound of the face	null	Suturing of wound					
Obstructive sleep apnea (OSA)	http://www.symcat.com/conditions/obstructive-sleep-apnea-osa	Obstructive sleep apnea (OSA)	Also known as OSA	Ultrasonography (Ultrasound)					
Noninfectious gastroenteritis	http://www.symcat.com/conditions/noninfectious-gastroenteritis	Noninfectious gastroenteritis	null		Trimethobenzamide (Tigan)				
Injury to the face	http://www.symcat.com/conditions/injury-to-the-face	Injury to the face	Also known as Face Injury and Facial Injury	Suturing of wound					
Bladder cancer	http://www.symcat.com/conditions/bladder-cancer	Bladder cancer	"Also known as Cancer Of Bladder, Urinary Bladder Cancer, Bladder Ca, and Malignant Neoplasm Of Bladder"		Bcg				
Seborrheic dermatitis	http://www.symcat.com/conditions/seborrheic-dermatitis	Seborrheic dermatitis	Also known as Seborrhea and Seborrheic Eczema		Desonide Topical				
Conjunctivitis due to virus	http://www.symcat.com/conditions/conjunctivitis-due-to-virus	Conjunctivitis due to virus	Also known as Viral Conjunctivitis	Influenzavirus antibody assay					
Diabetic peripheral neuropathy	http://www.symcat.com/conditions/diabetic-peripheral-neuropathy	Diabetic peripheral neuropathy	null					Black	0.9x
Diverticulitis	http://www.symcat.com/conditions/diverticulitis	Diverticulitis	null					< 1 years	0.1x
Multiple sclerosis	http://www.symcat.com/conditions/multiple-sclerosis	Multiple sclerosis	"Also known as MS, Disseminated Sclerosis, and Insular Sclerosis"	Referral to home health care service					
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis		Tapentadol (Nucynta)				
Sensorineural hearing loss	http://www.symcat.com/conditions/sensorineural-hearing-loss	Sensorineural hearing loss	Also known as Sensory Hearing Loss and Sensorineural Deafness					30-44 years	0.5x
Lumbago	http://www.symcat.com/conditions/lumbago	Lumbago	Also known as Chronic Low Back Pain					15-29 years	0.8x
Dry eye of unknown cause	http://www.symcat.com/conditions/dry-eye-of-unknown-cause	Dry eye of unknown cause	Also known as Dry Eye Syndrome		Tropicamide Ophthalmic				
Sebaceous cyst	http://www.symcat.com/conditions/sebaceous-cyst	Sebaceous cyst	"Also known as Wen, Epidermoid Cyst, Epithelial Cyst, and Keratin Cyst"		Tretinoin Topical				
Pulmonary embolism	http://www.symcat.com/conditions/pulmonary-embolism	Pulmonary embolism	Also known as Lung Embolism			Side pain	23		
Dysthymic disorder	http://www.symcat.com/conditions/dysthymic-disorder	Dysthymic disorder	Also known as Dysthymia		Desvenlafaxine (Pristiq)				
Hemorrhoids	http://www.symcat.com/conditions/hemorrhoids	Hemorrhoids	Also known as Piles			Pain of the anus	60		
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury	Plain x-ray (X ray)					
Conjunctivitis due to allergy	http://www.symcat.com/conditions/conjunctivitis-due-to-allergy	Conjunctivitis due to allergy	Also known as Allergic Conjunctivitis and Atopic Conjunctivitis					5-14 years	3.4x
Acute otitis media	http://www.symcat.com/conditions/acute-otitis-media	Acute otitis media	null		Cefdinir				
Pelvic inflammatory disease	http://www.symcat.com/conditions/pelvic-inflammatory-disease	Pelvic inflammatory disease	Also known as PID					45-59 years	0.3x
Pyelonephritis	http://www.symcat.com/conditions/pyelonephritis	Pyelonephritis	Also known as Bacterial Infection Of The Kidney			Back pain	68		
Multiple sclerosis	http://www.symcat.com/conditions/multiple-sclerosis	Multiple sclerosis	"Also known as MS, Disseminated Sclerosis, and Insular Sclerosis"					30-44 years	1.7x
Diabetes	http://www.symcat.com/conditions/diabetes	Diabetes	null					60-74 years	2.3x
Drug abuse (opioids)	http://www.symcat.com/conditions/drug-abuse-opioids	Drug abuse (opioids)	Also known as Opioid Abuse and Opiate Abuse					Black	1.1x
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury					45-59 years	1.6x
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury					Male	1.4x
Spontaneous abortion	http://www.symcat.com/conditions/spontaneous-abortion	Spontaneous abortion	Also known as Miscarriage and Miscarriage Of Pregnancy			Uterine contractions	16		
Gout	http://www.symcat.com/conditions/gout	Gout	Also known as Uric acid arthropathy					Black	1.3x
Injury to the face	http://www.symcat.com/conditions/injury-to-the-face	Injury to the face	Also known as Face Injury and Facial Injury	CAT scan of head (Head ct)					
Anxiety	http://www.symcat.com/conditions/anxiety	Anxiety	null		Loxapine				
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor			Warts	16		
Peripheral arterial disease	http://www.symcat.com/conditions/peripheral-arterial-disease	Peripheral arterial disease	null		Clopidogrel (Plavix)				
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"					White	0.6x
Cold sore	http://www.symcat.com/conditions/cold-sore	Cold sore	"Also known as Cold Sores, Fever Blister, Fever Sore, Lip Herpes, and Herpes Labialis"			Lip swelling	31		
Spondylosis	http://www.symcat.com/conditions/spondylosis	Spondylosis	null					75+ years	1.7x
Arthritis of the hip	http://www.symcat.com/conditions/arthritis-of-the-hip	Arthritis of the hip	Also known as Hip Arthritis					5-14 years	0.3x
Pelvic organ prolapse	http://www.symcat.com/conditions/pelvic-organ-prolapse	Pelvic organ prolapse	null					60-74 years	2.5x
Sensorineural hearing loss	http://www.symcat.com/conditions/sensorineural-hearing-loss	Sensorineural hearing loss	Also known as Sensory Hearing Loss and Sensorineural Deafness		Factor Viii				
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis		Betamethasone Topical Product				
Post-traumatic stress disorder (PTSD)	http://www.symcat.com/conditions/post-traumatic-stress-disorder-ptsd	Post-traumatic stress disorder (PTSD)	Also known as PTSD		Oxcarbazepine (Trileptal)				
Open wound of the hand	http://www.symcat.com/conditions/open-wound-of-the-hand	Open wound of the hand	null	Nonoperative removal of foreign body					
Open wound of the arm	http://www.symcat.com/conditions/open-wound-of-the-arm	Open wound of the arm	null	Culture wound					
Kidney stone	http://www.symcat.com/conditions/kidney-stone	Kidney stone	"Also known as Nephrolithiasis, Renal Calculi, Renal Calculus, Kidney Calculi, and Calculus Of Kidney"			Side pain	80		
Metabolic disorder	http://www.symcat.com/conditions/metabolic-disorder	Metabolic disorder	null		Fenofibric Acid (Trilipix)				
Skin polyp	http://www.symcat.com/conditions/skin-polyp	Skin polyp	Also known as Benign Skin Tumor		Benzoyl Peroxide-Clindamycin Topical				
Abdominal hernia	http://www.symcat.com/conditions/abdominal-hernia	Abdominal hernia	null	Other diagnostic procedures (interview; evaluation; consultation)					
Tooth abscess	http://www.symcat.com/conditions/tooth-abscess	Tooth abscess	Also known as Dental Abscess			Pain in gums	13		
Tendinitis	http://www.symcat.com/conditions/tendinitis	Tendinitis	null					Other	0.8x
Diabetic peripheral neuropathy	http://www.symcat.com/conditions/diabetic-peripheral-neuropathy	Diabetic peripheral neuropathy	null			Foot or toe swelling	9		
Lung cancer	http://www.symcat.com/conditions/lung-cancer	Lung cancer	Also known as Carcinoma Of Lung and Pulmonary Carcinoma			Drainage in throat	6		
Vaginal yeast infection	http://www.symcat.com/conditions/vaginal-yeast-infection	Vaginal yeast infection	"Also known as Vaginal Candidiasis, Vaginal Thrush, Candida Vaginitis, Yeast Vaginitis, Monilial Vaginitis, and Vaginal Moniliasis"			Painful urination	41		
Head and neck cancer	http://www.symcat.com/conditions/head-and-neck-cancer	Head and neck cancer	null					Male	1.7x
Kidney failure	http://www.symcat.com/conditions/kidney-failure	Kidney failure	Also known as Renal Failure	Glucose measurement (Glucose level)					
Degenerative disc disease	http://www.symcat.com/conditions/degenerative-disc-disease	Degenerative disc disease	Also known as Disk Degeneration and Intervertebral Disc Degeneration					5-14 years	0.0x
Injury to the arm	http://www.symcat.com/conditions/injury-to-the-arm	Injury to the arm	"Also known as Arm Injury, Upper Extremity Injury, and Upper Limb Injury"		Estazolam				
Deep vein thrombosis (DVT)	http://www.symcat.com/conditions/deep-vein-thrombosis-dvt	Deep vein thrombosis (DVT)	Also known as DVT and Deep Thrombophlebitis			Leg swelling	57		
Bruise	http://www.symcat.com/conditions/bruise	Bruise	Also known as Contusion	CAT scan of head (Head ct)					
Astigmatism	http://www.symcat.com/conditions/astigmatism	Astigmatism	null		Tropicamide Ophthalmic				
Anxiety	http://www.symcat.com/conditions/anxiety	Anxiety	null			Depressive or psychotic symptoms	35		
Spondylosis	http://www.symcat.com/conditions/spondylosis	Spondylosis	null			Back pain	70		
Viral warts	http://www.symcat.com/conditions/viral-warts	Viral warts	null					5-14 years	2.5x
Vulvodynia	http://www.symcat.com/conditions/vulvodynia	Vulvodynia	null	Glucose measurement (Glucose level)					
Deviated nasal septum	http://www.symcat.com/conditions/deviated-nasal-septum	Deviated nasal septum	null	Ophthalmologic and otologic diagnosis and treatment					
Schizophrenia	http://www.symcat.com/conditions/schizophrenia	Schizophrenia	null					75+ years	0.1x
Bone disorder	http://www.symcat.com/conditions/bone-disorder	Bone disorder	Also known as Bone Disease	Complete physical skin exam performed (ML)					
Depression	http://www.symcat.com/conditions/depression--2	Depression	Also known as Depressive Disorder	Mental health counseling					
Lung cancer	http://www.symcat.com/conditions/lung-cancer	Lung cancer	Also known as Carcinoma Of Lung and Pulmonary Carcinoma		Dexamethasone				
Breast cancer	http://www.symcat.com/conditions/breast-cancer	Breast cancer	Also known as Cancer Of Breast and Malignant Neoplasm Of Breast			Bleeding or discharge from nipple	2		
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null					Black	1.3x
Lung cancer	http://www.symcat.com/conditions/lung-cancer	Lung cancer	Also known as Carcinoma Of Lung and Pulmonary Carcinoma	Complete physical skin exam performed (ML)					
Psoriasis	http://www.symcat.com/conditions/psoriasis	Psoriasis	null					Hispanic	0.8x
Scleroderma	http://www.symcat.com/conditions/scleroderma	Scleroderma	Also known as Dermatosclerosis					Black	0.8x
Fibromyalgia	http://www.symcat.com/conditions/fibromyalgia	Fibromyalgia	"Also known as Fibromyalgia Syndrome, Fibromyositis, and Muscular Rheumatism"					White	1.1x
Injury of the ankle	http://www.symcat.com/conditions/injury-of-the-ankle	Injury of the ankle	Also known as Ankle injury		Cefpodoxime				
Peripheral nerve disorder	http://www.symcat.com/conditions/peripheral-nerve-disorder	Peripheral nerve disorder	Also known as Peripheral Neuropathy	Debridement of wound; infection or burn					
Developmental disability	http://www.symcat.com/conditions/developmental-disability	Developmental disability	Also known as Child Development Disorder		Benztropine				
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu					15-29 years	1.0x
Eczema	http://www.symcat.com/conditions/eczema	Eczema	Also known as Eczematous Dermatitis	Excision (Removal)					
Liver disease	http://www.symcat.com/conditions/liver-disease	Liver disease	"Also known as Liver Disease, Disease Of Liver, Hepatic Disease, Hepatic Disorder, Hepatocellular Disease, and Hepatopathy"					15-29 years	0.4x
Injury to the finger	http://www.symcat.com/conditions/injury-to-the-finger	Injury to the finger	Also known as Finger Injury	Traction; splints; and other wound care					
Open wound of the lip	http://www.symcat.com/conditions/open-wound-of-the-lip	Open wound of the lip	null					5-14 years	2.7x
Autism	http://www.symcat.com/conditions/autism	Autism	Also known as Autistic Disorder			Constipation	13		
Conduct disorder	http://www.symcat.com/conditions/conduct-disorder	Conduct disorder	null	Blood alcohol					
Osteoporosis	http://www.symcat.com/conditions/osteoporosis	Osteoporosis	null	Complete physical skin exam performed (ML)					
Post-traumatic stress disorder (PTSD)	http://www.symcat.com/conditions/post-traumatic-stress-disorder-ptsd	Post-traumatic stress disorder (PTSD)	Also known as PTSD			Hostile behavior	9		
Delirium	http://www.symcat.com/conditions/delirium	Delirium	Also known as Acute Brain Syndrome	Electrocardiogram					
Congenital heart defect	http://www.symcat.com/conditions/congenital-heart-defect	Congenital heart defect	"Also known as Cardiac Anomaly, Heart Anomaly, and Heart Malformation"					75+ years	0.4x
Acute respiratory distress syndrome (ARDS)	http://www.symcat.com/conditions/acute-respiratory-distress-syndrome-ards	Acute respiratory distress syndrome (ARDS)	"Also known as ARDS, Adult Respiratory Syndrome, Wet Lung, Shock Lung, Wet Lung Syndrome, Danang Lung, and Adult Hyaline Membrane Disease"			Cough	45		
Cardiomyopathy	http://www.symcat.com/conditions/cardiomyopathy	Cardiomyopathy	Also known as Heart Muscle Disease and Myocardial Disease					Female	0.7x
Sensorineural hearing loss	http://www.symcat.com/conditions/sensorineural-hearing-loss	Sensorineural hearing loss	Also known as Sensory Hearing Loss and Sensorineural Deafness			Nasal congestion	25		
Arrhythmia	http://www.symcat.com/conditions/arrhythmia	Arrhythmia	"Also known as Irregular Heartbeat, Cardiac Arrhythmia, Heart Arrhythmia, Cardiac Dysrhythmia, and Abnormal Heart Rhythms"		Sotalol				
Cerebral palsy	http://www.symcat.com/conditions/cerebral-palsy	Cerebral palsy	null					60-74 years	0.2x
Prostate cancer	http://www.symcat.com/conditions/prostate-cancer	Prostate cancer	Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate					45-59 years	0.7x
Fracture of the facial bones	http://www.symcat.com/conditions/fracture-of-the-facial-bones	Fracture of the facial bones	null			Abusing alcohol	13		
Sinus bradycardia	http://www.symcat.com/conditions/sinus-bradycardia	Sinus bradycardia	null			Increased heart rate	41		
Kidney stone	http://www.symcat.com/conditions/kidney-stone	Kidney stone	"Also known as Nephrolithiasis, Renal Calculi, Renal Calculus, Kidney Calculi, and Calculus Of Kidney"					15-29 years	0.9x
Pregnancy	http://www.symcat.com/conditions/pregnancy	Pregnancy	Also known as Gestation			Cramps and spasms	4		
Skin pigmentation disorder	http://www.symcat.com/conditions/skin-pigmentation-disorder	Skin pigmentation disorder	null					Hispanic	1.1x
Alzheimer disease	http://www.symcat.com/conditions/alzheimer-disease	Alzheimer disease	null		Hypromellose (Genteal)				
Otitis media	http://www.symcat.com/conditions/otitis-media	Otitis media	Also known as Middle Ear Infection					60-74 years	0.2x
Mononeuritis	http://www.symcat.com/conditions/mononeuritis	Mononeuritis	null					< 1 years	0.0x
Anxiety	http://www.symcat.com/conditions/anxiety	Anxiety	null			Abnormal involuntary movements	12		
Injury to the shoulder	http://www.symcat.com/conditions/injury-to-the-shoulder	Injury to the shoulder	Also known as Shoulder injury		Alfentanil				
Astigmatism	http://www.symcat.com/conditions/astigmatism	Astigmatism	null	Other therapeutic procedures on eyelids; conjunctiva; cornea					
Onychomycosis	http://www.symcat.com/conditions/onychomycosis	Onychomycosis	"Also known as Fungal Nail Infection, Tinea Unguium, Dermatophytosis Of Nail, Nail Tinea, and Dermatophytic Onychia"			"Skin dryness, peeling, scaliness, or roughness"	11		
Vasculitis	http://www.symcat.com/conditions/vasculitis	Vasculitis	Also known as Angiitis			Skin rash	46		
Viral hepatitis	http://www.symcat.com/conditions/viral-hepatitis	Viral hepatitis	null		Ribavirin				
Appendicitis	http://www.symcat.com/conditions/appendicitis	Appendicitis	null	Radiographic imaging procedure					
Open wound of the foot	http://www.symcat.com/conditions/open-wound-of-the-foot	Open wound of the foot	null		Tetanus Toxoid Vaccine (Adacel)				
Inguinal hernia	http://www.symcat.com/conditions/inguinal-hernia	Inguinal hernia	null		Ephedrine (Kie)				
Chronic pain disorder	http://www.symcat.com/conditions/chronic-pain-disorder	Chronic pain disorder	Also known as Pain Syndrome and Pain Disorder			Ache all over	48		
Infectious gastroenteritis	http://www.symcat.com/conditions/infectious-gastroenteritis	Infectious gastroenteritis	Also known as Stomach Flu and Gastric Flu					Black	0.9x
Astigmatism	http://www.symcat.com/conditions/astigmatism	Astigmatism	null					Hispanic	1.4x
Fibrocystic breast disease	http://www.symcat.com/conditions/fibrocystic-breast-disease	Fibrocystic breast disease	"Also known as Fibrocystic Disease Of Breast, Cystic Breast Disease, Diffuse Cystic Mastopathy, Breast Dysplasia, Mammary Dysplasia, and Fibrocystic Mastopathy"	Radiographic imaging procedure					
Seborrheic keratosis	http://www.symcat.com/conditions/seborrheic-keratosis	Seborrheic keratosis	"Also known as Seborrhoeic Keratosis, Senile Keratosis, Inverted Follicular Keratosis, Seborrheic Warts, and Basal Cell Papilloma"			Skin lesion	71		
Thrombocytopenia	http://www.symcat.com/conditions/thrombocytopenia	Thrombocytopenia	Also known as Reduced Platelet Count		Decitabine				
Nerve impingement near the shoulder	http://www.symcat.com/conditions/nerve-impingement-near-the-shoulder	Nerve impingement near the shoulder	Also known as Shoulder Impingement Syndrome and Subacromial Impingement		Exenatide (Byetta)				
Hypercholesterolemia	http://www.symcat.com/conditions/hypercholesterolemia	Hypercholesterolemia	Also known as Elevated Cholesterol and High Blood Cholesterol Level					15-29 years	0.1x
Sensorineural hearing loss	http://www.symcat.com/conditions/sensorineural-hearing-loss	Sensorineural hearing loss	Also known as Sensory Hearing Loss and Sensorineural Deafness		Ginkgo Biloba Extract (Ginkgo)				
Subconjunctival hemorrhage	http://www.symcat.com/conditions/subconjunctival-hemorrhage	Subconjunctival hemorrhage	null		Homatropine Ophthalmic				
Thrombocytopenia	http://www.symcat.com/conditions/thrombocytopenia	Thrombocytopenia	Also known as Reduced Platelet Count					Hispanic	0.9x
Oppositional disorder	http://www.symcat.com/conditions/oppositional-disorder	Oppositional disorder	Also known as Oppositional Defiant Disorder		Clonidine				
Peripheral nerve disorder	http://www.symcat.com/conditions/peripheral-nerve-disorder	Peripheral nerve disorder	Also known as Peripheral Neuropathy			Leg pain	52		
Thrombocytopenia	http://www.symcat.com/conditions/thrombocytopenia	Thrombocytopenia	Also known as Reduced Platelet Count	Glucose measurement (Glucose level)					
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"			Too little hair	2		
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"					< 1 years	0.0x
Conduct disorder	http://www.symcat.com/conditions/conduct-disorder	Conduct disorder	null		Methylphenidate				
Melanoma	http://www.symcat.com/conditions/melanoma	Melanoma	"Also known as Malignant Melanoma, Cutaneous Melanoma, Melanocarcinoma, Melanosarcoma, and Nevocarcinoma"	Other diagnostic procedures on skin and subcutaneous tissue					
Diabetes	http://www.symcat.com/conditions/diabetes	Diabetes	null			Symptoms of the kidneys	1		
Psoriasis	http://www.symcat.com/conditions/psoriasis	Psoriasis	null	Excision (Removal)					
Vulvodynia	http://www.symcat.com/conditions/vulvodynia	Vulvodynia	null			Cramps and spasms	16		
Itching of unknown cause	http://www.symcat.com/conditions/itching-of-unknown-cause	Itching of unknown cause	null					5-14 years	1.0x
Autism	http://www.symcat.com/conditions/autism	Autism	Also known as Autistic Disorder					75+ years	0.0x
Personality disorder	http://www.symcat.com/conditions/personality-disorder	Personality disorder	null	Alcohol and drug rehabilitation/detoxification					
Tension headache	http://www.symcat.com/conditions/tension-headache	Tension headache	Also known as Stress Headache and Tension Type Headache			Neck pain	51		
Ingrown toe nail	http://www.symcat.com/conditions/ingrown-toe-nail	Ingrown toe nail	Also known as Ingrown Nail and Onychocryptosis					Male	1.0x
Acne	http://www.symcat.com/conditions/acne	Acne	null					White	1.0x
Impetigo	http://www.symcat.com/conditions/impetigo	Impetigo	null	Culture wound					
Open wound of the knee	http://www.symcat.com/conditions/open-wound-of-the-knee	Open wound of the knee	null					Male	1.3x
Fracture of the vertebra	http://www.symcat.com/conditions/fracture-of-the-vertebra	Fracture of the vertebra	Also known as Spine Fracture and Spinal Fracture		Caffeine				
Sciatica	http://www.symcat.com/conditions/sciatica	Sciatica	Also known as Ischia and Sciatic Neuralgia					Female	1.0x
Systemic lupus erythematosis (SLE)	http://www.symcat.com/conditions/systemic-lupus-erythematosis-sle	Systemic lupus erythematosis (SLE)	"Also known as Lupus, SLE, and Disseminated Lupus Erythematosus"	Complete blood count (Cbc)					
Cataract	http://www.symcat.com/conditions/cataract	Cataract	Also known as Lens Opacity and Lenticular Opacity	Destruction of lesion of retina and choroid					
Acute stress reaction	http://www.symcat.com/conditions/acute-stress-reaction	Acute stress reaction	null		Mivacurium				
Fracture of the foot	http://www.symcat.com/conditions/fracture-of-the-foot	Fracture of the foot	Also known as Foot Fracture and Broken Foot					15-29 years	1.2x
Fungal infection of the hair	http://www.symcat.com/conditions/fungal-infection-of-the-hair	Fungal infection of the hair	Also known as Tinea Capitis and Ringworm Of Scalp			Abnormal appearing skin	42		
Dry eye of unknown cause	http://www.symcat.com/conditions/dry-eye-of-unknown-cause	Dry eye of unknown cause	Also known as Dry Eye Syndrome		Fluorometholone Ophthalmic				
White blood cell disease	http://www.symcat.com/conditions/white-blood-cell-disease	White blood cell disease	Also known as WBC Disease and Leukocyte Disorders					Other	0.8x
Indigestion	http://www.symcat.com/conditions/indigestion	Indigestion	Also known as Dyspepsia		Esomeprazole (Nexium)				
Fibroadenoma	http://www.symcat.com/conditions/fibroadenoma	Fibroadenoma	null		Ethanol (On Guard)				
Hyponatremia	http://www.symcat.com/conditions/hyponatremia	Hyponatremia	"Also known as Sodium Deficiency, Sodium Depletion, and Decreased Serum Sodium"			Dizziness	44		
Coronary atherosclerosis	http://www.symcat.com/conditions/coronary-atherosclerosis	Coronary atherosclerosis	null					60-74 years	2.8x
Hemorrhoids	http://www.symcat.com/conditions/hemorrhoids	Hemorrhoids	Also known as Piles		Calcium Polycarbophil (Fibercon)				
Rheumatoid arthritis	http://www.symcat.com/conditions/rheumatoid-arthritis	Rheumatoid arthritis	Also known as Atrophic Arthritis and Proliferative Arthritis		Nabumetone				
Fracture of the arm	http://www.symcat.com/conditions/fracture-of-the-arm	Fracture of the arm	Also known as Arm Fracture and Upper Extremity Fracture		Disopyramide				
Stye	http://www.symcat.com/conditions/stye	Stye	Also known as Hordeolum and Hordeolum Externum			Itchiness of eye	27		
Benign vaginal discharge (leukorrhea)	http://www.symcat.com/conditions/benign-vaginal-discharge-leukorrhea	Benign vaginal discharge (leukorrhea)	Also known as Cervical Discharge			Frequent urination	11		
Multiple sclerosis	http://www.symcat.com/conditions/multiple-sclerosis	Multiple sclerosis	"Also known as MS, Disseminated Sclerosis, and Insular Sclerosis"		Baclofen				
Tension headache	http://www.symcat.com/conditions/tension-headache	Tension headache	Also known as Stress Headache and Tension Type Headache		Topiramate (Topamax)				
Croup	http://www.symcat.com/conditions/croup	Croup	Also known as Acute Laryngotracheobronchitis					Female	0.6x
Benign prostatic hyperplasia (BPH)	http://www.symcat.com/conditions/benign-prostatic-hyperplasia-bph	Benign prostatic hyperplasia (BPH)	"Also known as BPH, Benign Prostatic Hypertrophy, and Benign Prostate Enlargement"		Tadalafil (Cialis)				
Arrhythmia	http://www.symcat.com/conditions/arrhythmia	Arrhythmia	"Also known as Irregular Heartbeat, Cardiac Arrhythmia, Heart Arrhythmia, Cardiac Dysrhythmia, and Abnormal Heart Rhythms"			Sharp chest pain	50		
Congenital heart defect	http://www.symcat.com/conditions/congenital-heart-defect	Congenital heart defect	"Also known as Cardiac Anomaly, Heart Anomaly, and Heart Malformation"			Slurring words	2		
Metastatic cancer	http://www.symcat.com/conditions/metastatic-cancer	Metastatic cancer	Also known as Secondary Neoplasm					Hispanic	0.5x
Anemia	http://www.symcat.com/conditions/anemia	Anemia	null			Weakness	28		
Diabetic peripheral neuropathy	http://www.symcat.com/conditions/diabetic-peripheral-neuropathy	Diabetic peripheral neuropathy	null		Sitagliptin (Januvia)				
