title	other_names	desc	causes	percentages	related	related_p	tests	meds	ages	ages_freq	sex	sex_freq	race	race_freq
Hysterical behavior	Also known as Hysteria	"Hysteria, in its colloquial use, describes unmanageable emotional excesses. People who are ""hysterical"" often lose self-control due to an overwhelming fear that may be caused by events in one's past that involved some sort of severe conflict. The fear can be centered on a body part, or most commonly, on an imagined problem with that body part. Disease is a common complaint; see also body dysmorphic disorder and hypochondriasis. Generally, modern medical professionals have given up the use of ""hysteria"" as a diagnostic category, replacing it with more precisely defined categories such as somatization disorder. In 1980, the American Psychiatric Association officially changed the diagnosis of ""hysterical neurosis, conversion type"" to ""conversion disorder""."			Hostile behavior	54		Olanzapine (Zyprexa)						
Hysterical behavior	Also known as Hysteria	"Hysteria, in its colloquial use, describes unmanageable emotional excesses. People who are ""hysterical"" often lose self-control due to an overwhelming fear that may be caused by events in one's past that involved some sort of severe conflict. The fear can be centered on a body part, or most commonly, on an imagined problem with that body part. Disease is a common complaint; see also body dysmorphic disorder and hypochondriasis. Generally, modern medical professionals have given up the use of ""hysteria"" as a diagnostic category, replacing it with more precisely defined categories such as somatization disorder. In 1980, the American Psychiatric Association officially changed the diagnosis of ""hysterical neurosis, conversion type"" to ""conversion disorder""."			Delusions or hallucinations	25		Chlorpromazine (Thorazine)						
Hysterical behavior	Also known as Hysteria	"Hysteria, in its colloquial use, describes unmanageable emotional excesses. People who are ""hysterical"" often lose self-control due to an overwhelming fear that may be caused by events in one's past that involved some sort of severe conflict. The fear can be centered on a body part, or most commonly, on an imagined problem with that body part. Disease is a common complaint; see also body dysmorphic disorder and hypochondriasis. Generally, modern medical professionals have given up the use of ""hysteria"" as a diagnostic category, replacing it with more precisely defined categories such as somatization disorder. In 1980, the American Psychiatric Association officially changed the diagnosis of ""hysterical neurosis, conversion type"" to ""conversion disorder""."			Pulling at ears	18		Fluvoxamine (Luvox)						
Hysterical behavior	Also known as Hysteria	"Hysteria, in its colloquial use, describes unmanageable emotional excesses. People who are ""hysterical"" often lose self-control due to an overwhelming fear that may be caused by events in one's past that involved some sort of severe conflict. The fear can be centered on a body part, or most commonly, on an imagined problem with that body part. Disease is a common complaint; see also body dysmorphic disorder and hypochondriasis. Generally, modern medical professionals have given up the use of ""hysteria"" as a diagnostic category, replacing it with more precisely defined categories such as somatization disorder. In 1980, the American Psychiatric Association officially changed the diagnosis of ""hysterical neurosis, conversion type"" to ""conversion disorder""."			Sharp abdominal pain	10		Ketamine						
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Brachial neuritis	4	Arm pain	37	Radiographic imaging procedure	Cisatracurium (Nimbex)	60-74 years	0.0x	Male	1.1x	Other	0.8x
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Chronic pain disorder	5	Loss of sensation	40	X-ray computed tomography (Scan ct)	Carisoprodol (Soma)	45-59 years	1.0x	Female	0.9x	Hispanic	1.1x
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Sprain or strain	27	Neck stiffness or tightness	8	Plain x-ray (X ray)	Chlorzoxazone	30-44 years	0.9x			Black	0.8x
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Chronic back pain	6	Headache	24	Magnetic resonance imaging (Mri)	Botulism Antitoxin	< 1 years	1.4x			White	1.0x
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Degenerative disc disease	5	Lower body pain	20	Physical therapy exercises (Exercises)	Salsalate	5-14 years	0.5x				
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Fibromyalgia	4	Low back pain	13	Other therapeutic procedures	Methocarbamol	1-4 years	1.5x				
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Spinal stenosis	4	Neck swelling	5	CAT scan of head (Head ct)	Diclofenac Topical Product	75+ years	0.1x				
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."	Bruise	21	Paresthesia	71	Insertion of catheter or spinal stimulator and injection into spinal canal	Metaxalone (Skelaxin)	15-29 years	0.6x				
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."			Facial pain	57		Ropivacaine						
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."			Back pain	9		Cyclobenzaprine						
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."			Shoulder pain	60		Oxymorphone (Opana)						
Neck pain	"Also known as Sore neck, Pain In Neck, Cervicalgia, Painful Neck, and Neck Ache"	"Neck pain (or cervicalgia) is a common problem, with two-thirds of the population having neck pain at some point in their lives."			Sharp chest pain	12		Orphenadrine (Flexon)						
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Seasonal allergies (hay fever)	7	Flu-like syndrome	37	Cardiac monitoring (Cardiac monitor)	Budesonide Nasal Product	45-59 years	1.2x	Female	1.0x	Black	1.1x
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Chronic obstructive pulmonary disease (COPD)	3	Chest tightness	55	Influenzavirus antibody assay	Moexipril	30-44 years	0.8x	Male	1.0x	Hispanic	1.0x
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Common cold	5	Headache	12	Ophthalmologic and otologic diagnosis and treatment	Azelastine Nasal	60-74 years	1.1x			White	1.0x
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Otitis media	7	Swollen lymph nodes	54	Nebulizer therapy	Carbamide Peroxide Otic	75+ years	0.9x			Other	0.8x
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Strep throat	21	Shortness of breath	51	Other diagnostic procedures (interview; evaluation; consultation)	Danazol	< 1 years	1.9x				
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Chronic sinusitis	5	Sore throat	20	Diagnostic procedures on ear		1-4 years	0.9x				
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Gastroesophageal reflux disease (GERD)	4	Hoarse voice	25	Diagnostic procedures on nose; mouth and pharynx		15-29 years	0.8x				
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Allergy	4	Cough	12	Tracheoscopy and laryngoscopy with biopsy		5-14 years	1.0x				
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Allergic reaction	12								
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Nasal congestion	24								
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Abnormal breathing sounds	12								
Throat feels tight	null	Throat feels tight is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Fever	24								
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Flu	5	Chills	61	Intravenous fluid replacement	Peginterferon Alfa-2B (Sylatron)	< 1 years	1.1x	Female	1.0x	Other	1.2x
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Common cold	4	Coryza	27	Influenzavirus antibody assay	Ribavirin	15-29 years	0.5x	Male	1.0x	Hispanic	1.5x
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Asthma	6	Coughing up sputum	31	Kidney function tests (Kidney function test)	Lipase	5-14 years	0.9x			White	0.9x
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Pneumonia	3	Cough	50	Plain x-ray (X ray)	Benzonatate	30-44 years	0.9x			Black	0.8x
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Chronic sinusitis	7	Headache	6	Complete blood count (Cbc)	Robitussin Ac	60-74 years	1.5x				
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Acute bronchitis	14	Ache all over	27	Glucose measurement (Glucose level)	Oseltamivir (Tamiflu)	1-4 years	1.3x				
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Acute sinusitis	3	Throat feels tight	5	Electrolytes panel	Amylases	45-59 years	1.0x				
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."	Chronic obstructive pulmonary disease (COPD)	24	Joint pain	7	Urinalysis	Cefotaxime	75+ years	0.5x				
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."			Sore throat	37								
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."			Vomiting	14								
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."			Fever	25								
Flu-like syndrome	null	"Influenza-like illness (ILI), also known as acute respiratory infection (ARI) and flu-like syndrome/symptoms, is a medical diagnosis of possible influenza or other illness causing a set of common symptoms. Here, SARI refers to Severe Acute Respiratory Infection."			Nasal congestion	27								
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Knee ligament or meniscus tear	16	Knee pain	93	Application of splint (Splinting)	Arnica Topical	45-59 years	0.8x	Female	0.8x	White	0.7x
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Bruise	7	Joint pain	21	Arterial blood gases (ABGs)	Betamethasone	1-4 years	0.7x	Male	1.2x	Black	1.3x
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Osteoarthritis	18	Ankle swelling	3	Radiographic imaging procedure	Aztreonam	5-14 years	1.1x			Other	0.9x
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Chronic knee pain	8	Knee lump or mass	17	Physical therapy exercises (Exercises)	Fosamprenavir (Lexiva)	15-29 years	1.6x			Hispanic	0.9x
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Sprain or strain	6	Swollen abdomen	3	Prothrombin time assay (Prothrombin time)	"Albumin Human, Usp (Albutein)"	30-44 years	1.2x				
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Pyogenic skin infection	14	Skin on leg or foot looks infected	6	Incision and drainage (I d)	Rifampin	75+ years	0.9x				
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Joint effusion	17	Knee stiffness or tightness	6	Magnetic resonance imaging (Mri)	Sulindac	60-74 years	0.2x				
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Bursitis	4	Knee weakness	12	Plain x-ray (X ray)	Saxagliptin (Onglyza)	< 1 years	0.1x				
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Abnormal appearing skin	24		Colchicine						
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Leg swelling	11		Methionine						
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Wrist swelling	5		Streptomycin						
Knee swelling	Also known as Swollen Knee	Knee swelling is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Leg weakness	3		Pemetrexed (Alimta)						
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Common cold	2	Vomiting	26	Incision and drainage (I d)	Cyclosporine	60-74 years	0.7x	Female	0.9x	Hispanic	1.4x
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Cerebral palsy	8	Depression	26	Nonoperative removal of foreign body	Phenol Topical	1-4 years	0.5x	Male	1.1x	White	0.9x
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Hypothyroidism	3	Burning abdominal pain	32	Blood culture	Modafinil (Provigil)	5-14 years	5.0x			Other	1.2x
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Dental caries	3	Mouth pain	32	Psychotherapy	Captopril	15-29 years	0.5x			Black	0.9x
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Eating disorder	4	Diarrhea	26	Intravenous fluid replacement	Baclofen	< 1 years	0.7x				
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Gastroesophageal reflux disease (GERD)	5	Nausea	41	Occupational therapy assessment (Speech therapy)	Glycopyrrolate	75+ years	1.1x				
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Tooth disorder	2	Ache all over	37		Sodium Hypochlorite Topical	30-44 years	0.6x				
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	White blood cell disease	2	Toothache	26		Dexmethylphenidate (Focalin)	45-59 years	1.0x				
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Lack of growth	45		"Immunoglobulins, Intravenous (Gammagard)"						
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Fever	37		Primidone						
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Difficulty in swallowing	49		Sterile Water						
Difficulty eating	Also known as Trouble Eating	Difficulty eating is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Sore throat	26								
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Threatened pregnancy	4	Pelvic pressure	29	Glucose measurement (Glucose level)	Multivitamin With Iron	60-74 years	0.0x	Female	1.7x	White	0.7x
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Urinary tract infection	6	Peripheral edema	36	Urinalysis	Rho(D) Immune Globulin (Rhogam)	30-44 years	1.5x	Male	0.0x	Hispanic	1.4x
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Hypovolemia	3	Nausea	52	Complete blood count (Cbc)	Terconazole Topical	< 1 years	0.0x			Other	1.5x
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Problem during pregnancy	2	Uterine contractions	13	Hematologic tests (Blood test)	Nelfinavir (Viracept)	75+ years	0.0x			Black	1.6x
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Postpartum depression	1	Cramps and spasms	13	Pelvis exam	Crotamiton Topical	1-4 years	0.0x				
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Gestational diabetes	6	Spotting or bleeding during pregnancy	57	Electrolytes panel	"Multivitamin, Prenatal"	15-29 years	0.0x				
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Hyperemesis gravidarum	24	Heartburn	54	Kidney function tests (Kidney function test)	Doxylamine (Unisom)	45-59 years	3.8x				
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Pregnancy	7	Vaginal discharge	14	Intravenous fluid replacement	Methylergonovine (Methergine)	5-14 years	0.0x				
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Vomiting	9		Miconazole Topical Product						
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Vaginal itching	37		Methyldopa						
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Pain during pregnancy	13		Terbutaline						
Problems during pregnancy	Also known as Decreased Fetal Movement	Problems during pregnancy is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Sharp abdominal pain	17		Oxytocin						
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Stroke	7	Knee stiffness or tightness	18	Radiographic imaging procedure	Mexiletine	30-44 years	0.4x	Female	0.9x	Other	1.0x
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Rheumatoid arthritis	6	Paresthesia	10	X-ray computed tomography (Scan ct)	Cromolyn (Viz-On)	45-59 years	1.9x	Male	1.1x	Hispanic	0.6x
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Brachial neuritis	3	Leg weakness	44	Magnetic resonance imaging (Mri)	Fluvoxamine (Luvox)	75+ years	1.8x			White	1.1x
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Osteoarthritis	4	Hand or finger lump or mass	51	CAT scan of head (Head ct)	Sulindac	< 1 years	0.8x			Black	1.0x
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Complex regional pain syndrome	17	Loss of sensation	54	Occupational therapy assessment (Speech therapy)	Modafinil (Provigil)	60-74 years	1.5x				
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Carpal tunnel syndrome	6	Hand or finger pain	71	Physical therapy exercises (Exercises)	Quinine	15-29 years	0.0x				
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Tendinitis	3	Hand or finger stiffness or tightness	24	Electrocardiogram	Leflunomide (Arava)	1-4 years	0.0x				
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.	Mononeuritis	8	Symptoms of the face	24	Other diagnostic procedures (interview; evaluation; consultation)	Riluzole	5-14 years	0.0x				
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Arm weakness	35		Triamcinolone Topical Product						
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Diminished vision	18		Sibutramine (Meridia)						
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Wrist weakness	18		Ropinirole						
Hand or finger weakness	null	Hand or finger weakness is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.			Abnormal involuntary movements	18		Sulfasalazine						
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Alcohol abuse	8	Anxiety and nervousness	27	Psychotherapy	Quetiapine (Seroquel)	45-59 years	0.3x	Female	0.7x	Black	0.9x
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Bipolar disorder	9	Depressive or psychotic symptoms	31	Mental health counseling	Desmopressin	5-14 years	1.0x	Male	1.3x	White	1.1x
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Anxiety	23	Chills	27	Kidney function tests (Kidney function test)	Lithium (Li)	1-4 years	0.7x			Hispanic	0.9x
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Alcohol withdrawal	5	Temper problems	31	Electrolytes panel	Droperidol	15-29 years	1.0x			Other	0.5x
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Attention deficit hyperactivity disorder (ADHD)	14	Vomiting	63	Blood alcohol	Fluoxetine (Prozac)	< 1 years	0.3x				
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Depression	15	Sharp chest pain	21	Intravenous fluid replacement	Magnesium Hydroxide (M.A.H.)	75+ years	1.2x				
Antisocial behavior	"Also known as Avoiding people, Excessive shyness, Lying, Social isolation, and Withdrawal"	"Anti-social behaviour is behaviour that lacks consideration for others and may cause damage to the society, whether intentionally or through negligence. This is opposed to pro-social behaviour, which is behaviour that helps or benefits the society. Criminal and civil laws in various countries attempt to offer remedies for anti-social behaviour. Anti-social behaviour is labelled as such when it is deemed contrary to prevailing norms for social conduct. This encompasses a large spectrum of actions. Murder, rape, use of illegal substances, and a wide variety of activities are deemed anti-social behaviours. In addition to actions that oppose established law, anti-social actions also include activities that members of society Þnd objectionable even if they are legal, such as drunkenness and sexual promiscuity."	Drug withdrawal	6	Nausea	35	Glucose measurement (Glucose level)	Methylphenidate	60-74 years	1.4x				
